dt_gmt8,cum_bankroll
2025-06-14 10:55:00+00:00,57895048.91
2025-06-14 15:30:00+00:00,248344097.64
2025-06-14 16:30:00+00:00,58545566.99
2025-06-14 17:00:00+00:00,239760984.2
2025-06-14 18:00:00+00:00,249064859.78
2025-06-14 19:00:00+00:00,254824484.66
2025-06-14 19:35:00+00:00,266610117.08
2025-06-14 20:00:00+00:00,278491832.24
2025-06-15 04:30:00+00:00,284013559.37
2025-06-15 07:30:00+00:00,297149186.49
2025-06-15 08:30:00+00:00,274219583.15
2025-06-15 09:30:00+00:00,286902238.87
2025-06-15 13:00:00+00:00,300171467.42
2025-06-15 17:00:00+00:00,322255483.53
2025-06-15 17:30:00+00:00,459359.87
2025-06-17 18:30:00+00:00,329803977.85
2025-06-17 19:35:00+00:00,336300249.18
2025-06-18 18:00:00+00:00,340985878.37
2025-06-18 18:30:00+00:00,332610773.28
2025-06-18 19:35:00+00:00,213825347.56
2025-06-21 15:00:00+00:00,324631186.58
2025-06-21 17:30:00+00:00,313160741.79
2025-06-21 18:00:00+00:00,319162565.09
2025-06-22 17:00:00+00:00,311183068.55
2025-06-22 17:30:00+00:00,67303750.4
2025-06-25 18:00:00+00:00,299018214.96
2025-06-25 18:30:00+00:00,307541360.88
2025-06-25 19:00:00+00:00,321765148.82
2025-06-25 19:35:00+00:00,332843006.21
2025-06-26 07:30:00+00:00,380727533.31
2025-06-26 08:30:00+00:00,398045052.33
2025-06-26 09:30:00+00:00,375754335.64
2025-06-26 10:05:00+00:00,82218723.52
2025-06-26 11:41:00+00:00,79089631.18
2025-06-26 19:35:00+00:00,356966618.86
2025-06-26 20:00:00+00:00,339118287.92
2025-06-27 18:30:00+00:00,227102368.52
2025-06-28 17:00:00+00:00,69095023.61
2025-06-28 17:30:00+00:00,222350436.64
2025-06-28 18:00:00+00:00,362728107.74
2025-06-29 07:30:00+00:00,353659905.04
2025-06-29 08:30:00+00:00,361838290.35
2025-06-29 10:30:00+00:00,375244587.81
2025-06-29 17:00:00+00:00,389657157.73
2025-06-29 18:00:00+00:00,398729208.83
2025-06-29 18:30:00+00:00,417170434.74
2025-06-29 19:35:00+00:00,398883178.33
2025-06-30 06:00:00+00:00,72084446.52
2025-06-30 09:30:00+00:00,387451297.9
2025-06-30 19:00:00+00:00,396411109.17
2025-06-30 20:00:00+00:00,414745122.96
2025-07-02 18:00:00+00:00,404572937.32
2025-07-02 18:30:00+00:00,384344290.45
2025-07-04 07:30:00+00:00,374106428.17
2025-07-05 09:30:00+00:00,356866955.12
2025-07-05 10:30:00+00:00,368329345.87
2025-07-05 17:00:00+00:00,171241.4
2025-07-05 17:55:00+00:00,514880.01
2025-07-05 18:00:00+00:00,388076320.22
2025-07-06 07:15:00+00:00,373348506.07
2025-07-06 07:30:00+00:00,388985765.87
2025-07-06 08:30:00+00:00,365197876.58
2025-07-06 09:30:00+00:00,350288814.47
