dt_gmt8,league,home,away,rec_text,line,odds,ev,confidence
2025-08-16 01:00:00+00:00,Spain La Liga,Girona FC,Rayo Vallecano,Rayo Vallecano +0.25,0.25,1.93,0.3589,High
2025-08-16 03:00:00+00:00,England Premier League,Liverpool,AFC Bournemouth,AFC Bournemouth +1.5,1.50,1.93,0.4172,High
2025-08-16 03:30:00+00:00,Spain La Liga,Villarreal,Real Oviedo,Real Oviedo +1.5,1.50,1.93,0.6251,Medium
2025-08-16 19:30:00+00:00,England Premier League,Aston Villa,Newcastle United,Newcastle United +0.25,0.25,1.93,0.4348,High
2025-08-16 22:00:00+00:00,England Premier League,Tottenham Hotspur,Burnley,Burnley +1.5,1.50,1.93,0.5828,High
2025-08-16 22:00:00+00:00,England Premier League,Sunderland,West Ham United,Sunderland +0.25,0.25,1.93,0.3646,Medium
2025-08-16 22:00:00+00:00,England Premier League,Brighton & Hove Albion,Fulham,Brighton & Hove Albion -0.5,-0.50,1.93,0.1964,High
2025-08-17 00:30:00+00:00,England Premier League,Wolverhampton Wanderers,Manchester City,Wolverhampton Wanderers +1.25,1.25,1.93,0.4728,High
2025-08-17 01:30:00+00:00,Spain La Liga,RCD Mallorca,FC Barcelona,RCD Mallorca +1.25,1.25,1.93,0.5053,High
2025-08-17 03:30:00+00:00,Spain La Liga,Deportivo Alavés,Levante UD,Levante UD +0.25,0.25,1.93,0.2108,High
2025-08-17 21:00:00+00:00,England Premier League,Chelsea,Crystal Palace,Crystal Palace +1.0,1.00,1.93,0.2192,High
2025-08-17 21:00:00+00:00,England Premier League,Nottingham Forest,Brentford,Nottingham Forest -0.25,-0.25,1.93,0.2161,High
2025-08-17 23:00:00+00:00,Spain La Liga,Celta de Vigo,Getafe CF,Getafe CF +0.75,0.75,1.93,0.4104,High
2025-08-17 23:30:00+00:00,England Premier League,Manchester United,Arsenal,Arsenal -0.25,-0.25,1.93,0.4242,High
2025-08-18 01:30:00+00:00,Spain La Liga,Athletic Club Bilbao,Sevilla FC,Sevilla FC +1.0,1.00,1.93,0.4709,High
2025-08-18 03:30:00+00:00,Spain La Liga,RCD Espanyol,Atlético Madrid,RCD Espanyol +1.0,1.00,1.93,0.2948,High
2025-08-19 03:00:00+00:00,Spain La Liga,Elche CF,Real Betis,Real Betis -0.25,-0.25,1.93,0.3763,High
