datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-08-28 03:00:00,Spain La Liga,Celta de Vigo,Real Betis,Real Betis +0.25,High,0.25,1.925,0.10297135394042811,0.8,0.5849056603773585,-0.25,league,1,team_a_xg: -0.488; team_b_xg: -0.066; odds_ft_1: -0.026,team_b_xg: -0.471; team_a_xg: -0.104; market_prob_btts_yes: 0.071,Unable to fetch insight—rely on EV!
2025-08-30 02:45:00,Italy Serie A,Lecce,AC Milan,Lecce +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0,0.75,league,1,team_a_xg: -0.491; odds_ft_1: -0.222; odds_ft_2: -0.085,team_b_xg: -0.580; odds_ft_2: 0.205; team_a_xg: -0.086,"Agree: Milan's attack looks as toothless as a gummy shark without Leao and Morata, so Lecce's home handicap feels like betting on a underdog"
2025-08-30 22:00:00,England Premier League,Wolverhampton Wanderers,Everton,Everton +0.25,High,0.25,1.925,0.3270998224544014,0.5279114266503396,0.5849056603773585,-0.25,league,1,team_a_xg: -0.483; odds_ft_1: -0.081; team_b_xg: -0.071,team_b_xg: -0.480; team_a_xg: -0.112; odds_ft_2: -0.052,Unable to fetch insight—rely on EV!
2025-08-30 22:00:00,England Premier League,Manchester United,Burnley,Burnley +1.5,High,1.5,1.925,0.24327618337313534,1.467741935483871,0.25,-1.5,league,1,team_a_xg: -0.538; odds_ft_1: 0.242; odds_ft_2: 0.122,team_b_xg: -0.444; odds_ft_2: -0.151; team_a_xg: -0.095,"Agree: United's injury-riddled squad is more patchwork than powerhouse, so betting on Burnley to avoid a thrashing feels like spotting a sur"
2025-08-30 23:00:00,Spain La Liga,Deportivo Alavés,Atlético Madrid,Deportivo Alavés +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0,0.75,league,1,team_a_xg: -0.460; odds_ft_1: -0.194; odds_ft_2: -0.082,team_b_xg: -0.623; odds_ft_2: 0.211; team_a_xg: -0.080,"Agree: Alavés +0.75 looks like a steal, as Atlético's defense is crumbling faster than a cheap taco under Gimenez's latest injury curse, giv"
2025-08-31 00:30:00,Italy Serie A,Parma,Atalanta,Parma +0.75,High,0.75,1.925,0.562488823875703,0.5909090909090909,0.6851851851851852,0.75,league,1,team_a_xg: -0.471; odds_ft_1: -0.192; odds_ft_2: -0.078,team_b_xg: -0.641; odds_ft_2: 0.198; team_a_xg: -0.086,Unable to fetch insight—rely on EV!
2025-08-31 00:30:00,England Premier League,Leeds United,Newcastle United,Newcastle United -0.25,High,-0.25,1.925,0.1254011658071718,0.42857142857142855,1.0,0.25,league,1,team_a_xg: -0.529; odds_ft_1: -0.182; team_b_xg: -0.063,team_b_xg: -0.611; odds_ft_2: 0.112; team_a_xg: -0.084,Disagree: Backing Newcastle's battered squad is like betting on a leaky boat—key injuries and suspensions sink this handicap against a fired
2025-08-31 01:30:00,Spain La Liga,Girona FC,Sevilla FC,Sevilla FC +0.25,High,0.25,1.925,0.29350530944590364,0.5909090909090909,0.5849056603773585,-0.25,league,1,team_a_xg: -0.466; odds_ft_1: -0.074; team_b_xg: -0.066,team_b_xg: -0.446; team_a_xg: -0.126; odds_ft_2: -0.063,"Disagree: Betting on Sevilla's limp squad is like wagering on a leaky boat in a storm—sure, the odds tempt, but their injury-riddled form sc"
2025-08-31 02:45:00,Italy Serie A,Napoli,Cagliari,Cagliari +1.5,High,1.5,1.925,0.2520053604412371,1.745019920318725,0.5849056603773585,-1.5,league,1,team_a_xg: -0.506; odds_ft_1: 0.256; odds_ft_2: 0.142,team_b_xg: -0.376; odds_ft_2: -0.138; team_a_xg: -0.083,Unable to fetch insight—rely on EV!
2025-08-31 02:45:00,Italy Serie A,Pisa,Roma,Pisa +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0641711229946524,0.75,league,1,team_a_xg: -0.500; odds_ft_1: -0.217; odds_ft_2: -0.082,team_b_xg: -0.533; odds_ft_2: 0.227; team_a_xg: -0.070,"Agree: Backing Pisa's handicap at +0.75 is a smart punt, as Roma's injury-riddled squad might crumble like ancient ruins against these feist"
2025-08-31 21:00:00,England Premier League,Nottingham Forest,West Ham United,West Ham United +0.75,High,0.75,1.925,0.2440522971159437,1.0454545454545454,0.5849056603773585,-0.75,league,1,team_a_xg: -0.453; odds_ft_1: 0.206; market_prob_u25: -0.084,team_b_xg: -0.436; team_a_xg: -0.131; odds_ft_2: -0.110,Disagree: Betting on West Ham's hammered squad with a cushy handicap is like trusting a rusty nail to hold up a house – Forest's home bark w
2025-08-31 21:00:00,England Premier League,Brighton & Hove Albion,Manchester City,Brighton & Hove Albion +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0641711229946524,0.75,league,1,team_a_xg: -0.585; odds_ft_1: -0.229; odds_ft_2: -0.089,team_b_xg: -0.599; odds_ft_2: 0.242; team_a_xg: -0.065,Agree: Betting on Brighton +0.75 is smarter than expecting City's injury-riddled squad to suddenly sparkle like they haven't been limping th
2025-09-01 00:30:00,Italy Serie A,Torino,Fiorentina,Fiorentina -0.25,High,-0.25,1.925,0.12540116580717187,0.42857142857142855,1.0,0.25,league,1,team_a_xg: -0.441; odds_ft_1: -0.161; team_b_xg: -0.065,team_b_xg: -0.486; team_a_xg: -0.089; odds_ft_2: 0.079,"Disagree: Backing Fiorentina here is like betting on a wilted violet to outrun Torino's charging bull—expect a thorny draw or worse, as Piol"
2025-09-01 02:00:00,England Premier League,Aston Villa,Crystal Palace,Crystal Palace +0.75,High,0.75,1.925,0.057059327886447714,1.3,0.5849056603773585,-0.75,league,1,team_a_xg: -0.457; odds_ft_1: 0.225; odds_ft_2: 0.077,team_b_xg: -0.434; team_a_xg: -0.110; odds_ft_2: -0.107,Unable to fetch insight—rely on EV!
2025-09-01 02:45:00,Italy Serie A,Inter Milan,Udinese,Udinese +1.5,High,1.5,1.925,0.3458491402357759,1.5,0.5,-1.5,league,1,team_a_xg: -0.516; odds_ft_1: 0.242; odds_ft_2: 0.118,team_b_xg: -0.382; odds_ft_2: -0.159; team_a_xg: -0.099,"Agree: Udinese's +1.5 looks juicier than overripe fruit, as Inter's midfield mess from suspensions and sore spots might leave them puffing w"
