datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Vissel Kobe,Kashiwa Reysol,Vissel Kobe -0.25,High,-0.25,1.925,0.21777838766089236,1.0109890109890112,0.3,-0.25,league,3,team_a_xg: -0.622; market_prob_u25: -0.073; odds_ft_1: 0.052,team_b_xg: -0.709; odds_ft_2: -0.046; rolling_synth_goals_minus_xg_form_away: 0.029,Unable to fetch insight—rely on EV!
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.16112081596660677,1.0109890109890112,0.13194103953830616,-1.0,league,3,team_a_xg: -0.614; odds_ft_1: 0.159; odds_ft_2: 0.093,team_b_xg: -0.635; odds_ft_2: -0.089; odds_ft_1: -0.031,Unable to fetch insight—rely on EV!
2025-09-13 02:30:00,Germany Bundesliga,Bayer Leverkusen,Eintracht Frankfurt,Eintracht Frankfurt +0.25,High,0.25,1.925,0.15092340941021232,1.0813953488372088,1.0561797752808988,-0.25,league,1,team_a_xg: -0.636; market_prob_u25: 0.070; odds_ft_2: -0.040,team_b_xg: -0.676; odds_ft_2: 0.077; rolling_synth_goals_minus_xg_form_away: 0.057,Unable to fetch insight—rely on EV!
2025-09-13 02:45:00,France Ligue 1,Olympique Marseille,Lorient,Lorient +1.5,High,1.5,1.925,0.29708695296720194,1.4631578947368422,0.35,-1.5,league,1,team_a_xg: -0.648; odds_ft_1: 0.167; odds_ft_2: 0.127,team_b_xg: -0.651; odds_ft_2: -0.164; odds_ft_1: -0.037,Unable to fetch insight—rely on EV!
2025-09-13 03:00:00,Spain La Liga,Sevilla FC,Elche CF,Elche CF +0.25,High,0.25,1.925,0.12968796052534054,0.7034482758620689,0.5230769230769231,-0.25,league,1,team_a_xg: -0.603; market_prob_u25: -0.071; odds_ft_1: 0.039,team_b_xg: -0.659; odds_ft_2: -0.040; market_prob_btts_yes: -0.022,Unable to parse response.
2025-09-13 17:00:00,Japan J1 League,Avispa Fukuoka,Cerezo Osaka,Avispa Fukuoka +0.25,High,0.25,1.925,0.5544152423785452,1.0,0.3983347582607182,0.25,league,3,team_a_xg: -0.635; odds_ft_1: -0.102; odds_ft_2: -0.067,team_b_xg: -0.656; odds_ft_2: 0.115; team_a_xg: 0.033,Unable to fetch insight—rely on EV!
2025-09-13 18:00:00,Japan J1 League,Yokohama F. Marinos,Kawasaki Frontale,Yokohama F. Marinos +0.25,High,0.25,1.925,0.10061351354650139,0.5789473684210527,0.7647058823529411,0.25,league,3,team_a_xg: -0.588; odds_ft_1: -0.112; odds_ft_2: -0.076,team_b_xg: -0.704; odds_ft_2: 0.141; rolling_xg_for_form_home: 0.051,Unable to fetch insight—rely on EV!
2025-09-13 19:30:00,England Premier League,Arsenal,Nottingham Forest,Nottingham Forest +1.25,High,1.25,1.925,0.13240046658721272,1.475,0.35,-1.25,league,1,team_a_xg: -0.668; odds_ft_1: 0.200; odds_ft_2: 0.119,team_b_xg: -0.658; odds_ft_2: -0.157; odds_ft_1: -0.038,"Agree: Arsenal's injury-riddled squad looks more like a bandaged mess than a title contender, so Forest +1.25 at 1.93 is a steal, punting on"
2025-09-13 21:30:00,Germany Bundesliga,Wolfsburg,Köln,Köln +0.5,High,0.5,1.925,0.40892066218272005,0.7034482758620689,0.5230769230769231,-0.5,league,1,team_a_xg: -0.632; odds_ft_1: 0.083; market_prob_u25: -0.034,team_b_xg: -0.655; odds_ft_2: -0.065; odds_ft_1: -0.025,Unable to fetch insight—rely on EV!
2025-09-13 21:30:00,Germany Bundesliga,Heidenheim,Borussia Dortmund,Borussia Dortmund -0.75,High,-0.75,1.925,0.28867217373243653,0.3225806451612903,1.7346938775510203,0.75,league,1,team_a_xg: -0.639; odds_ft_1: -0.182; odds_ft_2: -0.102,team_b_xg: -0.776; odds_ft_2: 0.185; rolling_synth_goals_minus_xg_form_away: 0.119,Unable to fetch insight—rely on EV!
2025-09-13 21:30:00,Germany Bundesliga,Mainz 05,RB Leipzig,Mainz 05 -0.25,High,-0.25,1.925,0.13027819642298058,1.2191780821917808,0.6363636363636364,-0.25,league,1,team_a_xg: -0.630; market_prob_u25: 0.070; odds_ft_1: 0.042,team_b_xg: -0.653; odds_ft_1: -0.022; rolling_xg_for_form_home: -0.020,"Agree: Betting on Mainz -0.25 feels like backing a scrappy underdog against a Leipzig side that's just been Bayern-ed into oblivion, odds sc"
2025-09-13 22:00:00,England Premier League,Crystal Palace,Sunderland,Sunderland +0.75,High,0.75,1.925,0.26864039817667507,1.0813953488372088,0.7126436781609196,-0.75,league,1,team_a_xg: -0.638; odds_ft_1: 0.158; odds_ft_2: 0.100,team_b_xg: -0.650; odds_ft_2: -0.095; rolling_da_for_form_home: -0.056,Unable to fetch insight—rely on EV!
2025-09-13 22:00:00,England Premier League,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers +1.25,High,1.25,1.925,0.167728515220246,1.475,0.42857142857142855,-1.25,league,1,team_a_xg: -0.638; odds_ft_1: 0.203; odds_ft_2: 0.110,team_b_xg: -0.649; odds_ft_2: -0.158; odds_ft_1: -0.037,"Agree: Wolves +1.25 is a howling good bet; Newcastle's injury pack might bark more than bite, scraping a slim win at best."
2025-09-14 00:30:00,Spain La Liga,Athletic Club Bilbao,Deportivo Alavés,Deportivo Alavés +1.0,High,1.0,1.925,0.21350618171136868,1.2692307692307692,0.5230769230769231,-1.0,league,1,team_a_xg: -0.631; odds_ft_1: 0.159; odds_ft_2: 0.099,team_b_xg: -0.628; odds_ft_2: -0.100; odds_ft_1: -0.030,Unable to fetch insight—rely on EV!
2025-09-14 00:30:00,England Premier League,West Ham United,Tottenham Hotspur,West Ham United +0.5,High,0.5,1.925,0.19850761235739928,0.7034482758620689,1.038461538461538,0.5,league,1,team_a_xg: -0.639; odds_ft_1: -0.166; odds_ft_2: -0.086,team_b_xg: -0.700; odds_ft_2: 0.167; odds_ft_1: 0.063,Unable to fetch insight—rely on EV!
2025-09-14 02:45:00,Italy Serie A,Fiorentina,Napoli,Napoli -0.25,High,-0.25,1.925,0.291775683827831,0.16666666666666666,0.9777777777777777,0.25,league,1,team_a_xg: -0.612; odds_ft_1: -0.144; odds_ft_2: -0.080,team_b_xg: -0.680; odds_ft_2: 0.116; rolling_corners_against_form_away: -0.094,Unable to fetch insight—rely on EV!
2025-09-14 03:00:00,Spain La Liga,Atlético Madrid,Villarreal,Villarreal +0.5,High,0.5,1.925,0.14289140367259962,1.0813953488372088,0.7407407407407407,-0.5,league,1,team_a_xg: -0.634; market_prob_u25: 0.079; odds_ft_1: 0.077,team_b_xg: -0.663; rolling_synth_goals_minus_xg_form_away: 0.108; odds_ft_2: -0.074,Unable to fetch insight—rely on EV!
2025-09-14 03:05:00,France Ligue 1,Auxerre,Monaco,Monaco -0.75,High,-0.75,1.925,0.09045981751048904,0.3225806451612903,1.382716049382716,0.75,league,1,team_a_xg: -0.630; odds_ft_1: -0.185; odds_ft_2: -0.094,team_b_xg: -0.756; odds_ft_2: 0.175; odds_ft_1: 0.076,Unable to fetch insight—rely on EV!
2025-09-14 18:30:00,Italy Serie A,Roma,Torino,Torino +1.0,High,1.0,1.925,0.1156483514153882,1.2692307692307692,0.35,-1.0,league,1,team_a_xg: -0.643; odds_ft_1: 0.164; odds_ft_2: 0.103,team_b_xg: -0.639; odds_ft_2: -0.151; odds_ft_1: -0.029,Unable to fetch insight—rely on EV!
2025-09-14 21:00:00,England Premier League,Burnley,Liverpool,Burnley +1.5,High,1.5,1.925,0.31942702807015905,0.3225806451612903,1.44,1.5,league,1,team_a_xg: -0.645; odds_ft_1: -0.178; odds_ft_2: -0.095,team_b_xg: -0.777; odds_ft_2: 0.195; odds_ft_1: 0.138,Unable to fetch insight—rely on EV!
2025-09-14 21:00:00,Italy Serie A,Atalanta,Lecce,Lecce +1.25,High,1.25,1.925,0.2339813562646469,1.475,0.5230769230769231,-1.25,league,1,team_a_xg: -0.660; odds_ft_1: 0.209; odds_ft_2: 0.124,team_b_xg: -0.632; odds_ft_2: -0.171; odds_ft_1: -0.039,Unable to fetch insight—rely on EV!
2025-09-14 21:00:00,France Ligue 1,Lille,Toulouse,Toulouse +0.75,High,0.75,1.925,0.13736771948556256,1.2692307692307692,0.7126436781609196,-0.75,league,1,team_a_xg: -0.595; odds_ft_1: 0.096; rolling_goals_conceded_form_away: 0.041,team_b_xg: -0.643; odds_ft_2: -0.093; rolling_synth_goals_minus_xg_form_away: 0.034,Disagree: Backing Toulouse +0.75 is like trusting a leaky boat in a storm – Lille's habit of edging them out 2-1 screams this bet's about to
2025-09-14 21:30:00,Germany Bundesliga,St. Pauli,Augsburg,Augsburg +0.25,High,0.25,1.925,0.12968796052534054,0.7034482758620689,0.5230769230769231,-0.25,league,1,team_a_xg: -0.582; market_prob_u25: -0.074; odds_ft_1: 0.045,team_b_xg: -0.670; odds_ft_2: -0.040; rolling_synth_sot_per_shot_ratio_form_away: -0.031,Unable to fetch insight—rely on EV!
2025-09-14 22:15:00,Spain La Liga,Levante UD,Real Betis,Real Betis -0.25,High,-0.25,1.925,0.18380241845822365,0.3225806451612903,0.9777777777777777,0.25,league,1,team_a_xg: -0.594; odds_ft_1: -0.103; odds_ft_2: -0.068,team_b_xg: -0.676; odds_ft_2: 0.122; rolling_da_for_form_home: -0.058,Unable to fetch insight—rely on EV!
2025-09-14 23:15:00,France Ligue 1,PSG,Lens,Lens +1.5,High,1.5,1.925,0.2180946770449041,1.716612377850163,0.5230769230769231,-1.5,league,1,team_a_xg: -0.701; odds_ft_1: 0.233; odds_ft_2: 0.146,team_b_xg: -0.653; odds_ft_2: -0.207; market_prob_u25: 0.042,Unable to fetch insight—rely on EV!
2025-09-14 23:30:00,Germany Bundesliga,Borussia M'gladbach,Werder Bremen,Werder Bremen +0.5,High,0.5,1.925,0.13027802020002854,1.0813953488372088,0.7126436781609196,-0.5,league,1,team_a_xg: -0.629; market_prob_u25: 0.087; odds_ft_1: 0.082,team_b_xg: -0.713; odds_ft_2: -0.072; rolling_fouls_against_form_home: 0.040,Disagree: Backing Bremen +0.5 is like betting on a leaky boat in a storm – M'gladbach's recent thrashings scream they'll sink the visitors a
2025-09-15 02:45:00,France Ligue 1,Rennes,Olympique Lyonnais,Olympique Lyonnais -0.25,High,-0.25,1.925,0.18380241845822365,0.3225806451612903,0.9777777777777777,0.25,league,1,team_a_xg: -0.611; odds_ft_1: -0.100; odds_ft_2: -0.070,team_b_xg: -0.691; odds_ft_2: 0.084; market_prob_u25: -0.031,Unable to fetch insight—rely on EV!
