datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Vissel Kobe,Kashiwa Reysol,Vissel Kobe -0.25,High,-0.25,1.925,0.25662292875074433,1.0,0.23529411764705882,-0.25,league,3,team_a_xg: -0.607; market_prob_u25: -0.067; team_b_xg: -0.048,team_b_xg: -0.690; team_a_xg: -0.068; odds_ft_2: -0.041,
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.2329980878119532,1.0,0.23529411764705882,-1.0,league,3,team_a_xg: -0.633; odds_ft_1: 0.171; market_prob_u25: -0.074,team_b_xg: -0.607; odds_ft_2: -0.094; team_a_xg: -0.087,
2025-09-13 02:30:00,Germany Bundesliga,Bayer Leverkusen,Eintracht Frankfurt,Eintracht Frankfurt +0.25,High,0.25,1.925,0.11588595262131218,1.1020408163265305,1.0485436893203883,-0.25,league,1,team_a_xg: -0.645; market_prob_btts_yes: 0.060; market_prob_u25: 0.055,team_b_xg: -0.672; odds_ft_2: 0.100; market_prob_btts_yes: 0.075,"Agree: Frankfurt's soaring like eagles on a hot streak, while Leverkusen's stumbling through a messy transition – this +0.25 bet's a cheeky punt on the underdogs nicking at leas..."
2025-09-13 02:45:00,France Ligue 1,Olympique Marseille,Lorient,Lorient +1.5,High,1.5,1.925,0.4534075342199194,1.3333333333333333,0.48437500000000006,-1.5,league,1,team_a_xg: -0.660; odds_ft_1: 0.168; odds_ft_2: 0.084,team_b_xg: -0.655; odds_ft_2: -0.158; team_a_xg: -0.083,"Disagree: Lorient's defense is leakier than a colander in a monsoon, and Marseille's post-loss fury will drown this handicap bet in a sea of home goals, leaving punters high and..."
2025-09-13 17:00:00,Japan J1 League,Avispa Fukuoka,Cerezo Osaka,Avispa Fukuoka +0.25,High,0.25,1.925,0.6021901930304525,0.5948778393381438,0.23529411764705882,0.25,league,3,team_a_xg: -0.623; odds_ft_1: -0.106; odds_ft_2: -0.053,team_b_xg: -0.626; odds_ft_2: 0.120; team_a_xg: -0.061,
2025-09-13 19:30:00,England Premier League,Arsenal,Nottingham Forest,Nottingham Forest +1.25,High,1.25,1.925,0.2986977008810479,1.3333333333333333,0.48437500000000006,-1.25,league,1,team_a_xg: -0.671; odds_ft_1: 0.197; odds_ft_2: 0.092,team_b_xg: -0.642; odds_ft_2: -0.157; team_a_xg: -0.081,"Agree: Arsenal's injury parade turns this into a potential banana peel, so Forest's +1.25 handicap feels like a safe bet against a Gunners side firing blanks and leaking goals."
2025-09-13 21:30:00,Germany Bundesliga,Heidenheim,Borussia Dortmund,Borussia Dortmund -0.75,High,-0.75,1.925,0.12079997265237191,0.35135135135135137,1.459016393442623,0.75,league,1,team_a_xg: -0.629; odds_ft_1: -0.191; odds_ft_2: -0.087,team_b_xg: -0.734; odds_ft_2: 0.212; odds_ft_1: 0.075,"Disagree: Dortmund's defense is leakier than a sieve in a rainstorm, with injuries piling up like bad bets, making this handicap a fool's gold against a scrappy Heidenheim side ..."
2025-09-13 22:00:00,England Premier League,Crystal Palace,Sunderland,Sunderland +0.75,High,0.75,1.925,0.3061023685207279,1.0769230769230769,0.7948717948717948,-0.75,league,1,team_a_xg: -0.615; odds_ft_1: 0.159; odds_ft_2: 0.070,team_b_xg: -0.649; odds_ft_2: -0.113; team_a_xg: -0.081,"Agree: Sunderland's got the edge here, like a cat burglar sneaking past Palace's injury-riddled defense—bet on the Black Cats to claw out at least a draw or narrow loss, turning..."
2025-09-13 22:00:00,England Premier League,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers +1.25,High,1.25,1.925,0.19797958964139323,1.3333333333333333,0.2857142857142857,-1.25,league,1,team_a_xg: -0.662; odds_ft_1: 0.205; odds_ft_2: 0.096,team_b_xg: -0.646; odds_ft_2: -0.155; team_a_xg: -0.082,"Agree: With Newcastle's squad looking more patched-up than a leaky boat, Wolves +1.25 feels like a savvy bet to avoid a total shipwreck, as the Magpies' injury woes could keep t..."
2025-09-13 22:15:00,Spain La Liga,Real Sociedad,Real Madrid,Real Sociedad +1.0,High,1.0,1.925,0.19218750000000007,0.0,1.0769230769230769,1.0,league,1,team_a_xg: -0.649; odds_ft_1: -0.214; odds_ft_2: -0.086,team_b_xg: -0.742; odds_ft_2: 0.182; odds_ft_1: 0.073,"Agree: With Madrid's squad looking like a hospital ward on wheels, Sociedad +1.0 at 1.93 is a smart punt – their stars might just stumble to a slim victory or worse."
2025-09-13 23:00:00,France Ligue 1,Nice,Nantes,Nantes +0.75,High,0.75,1.925,0.12715977014902488,1.1020408163265305,0.48437500000000006,-0.75,league,1,team_a_xg: -0.654; odds_ft_1: 0.164; odds_ft_2: 0.074,team_b_xg: -0.628; odds_ft_2: -0.099; team_a_xg: -0.071,"Disagree: Betting on Nantes +0.75 is like handing cash to a leaky boat— their coach's knee blowout spells chaos, while Nice's home hunger could sink the Canaries without mercy."
2025-09-14 00:30:00,Spain La Liga,Athletic Club Bilbao,Deportivo Alavés,Deportivo Alavés +1.0,High,1.0,1.925,0.28442869251453395,1.1020408163265305,0.48437500000000006,-1.0,league,1,team_a_xg: -0.647; odds_ft_1: 0.164; odds_ft_2: 0.082,team_b_xg: -0.632; odds_ft_2: -0.103; team_a_xg: -0.086,"Agree: Alavés +1.0 looks solid as Bilbao's home fortress often cracks just enough in derbies, letting underdogs hang on without getting hamm"
