datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.2266826017174084,1.0375,0.2727272727272727,-1.0,league,3,team_a_xg: -0.691; odds_ft_1: 0.162; team_b_xg: -0.082,team_b_xg: -0.552; odds_ft_2: -0.087; team_a_xg: -0.057,
2025-09-12 18:00:00,Japan J1 League,Vissel Kobe,Kashiwa Reysol,Vissel Kobe -0.25,High,-0.25,1.925,0.05014147900481013,0.75,0.2727272727272727,-0.25,league,3,team_a_xg: -0.681; market_prob_u25: -0.072; rolling_sot_against_form_home: 0.070,team_b_xg: -0.627; team_a_xg: -0.097; odds_ft_2: -0.052,
2025-09-13 02:30:00,Germany Bundesliga,Bayer Leverkusen,Eintracht Frankfurt,Eintracht Frankfurt +0.25,High,0.25,1.925,0.1670784468537781,1.0883534136546185,1.1156462585034013,-0.25,league,1,team_a_xg: -0.726; team_b_xg: -0.095; market_prob_u25: 0.060,team_b_xg: -0.580; odds_ft_2: 0.081; market_prob_btts_yes: 0.079,Agree: Frankfurt's soaring like eagles while Leverkusen's management mess has them floundering like fish out of water – snag that +0.25 before it flops away.
2025-09-13 02:45:00,France Ligue 1,Olympique Marseille,Lorient,Lorient +1.5,High,1.5,1.925,0.573845619724774,1.1333333333333333,0.4791666666666667,-1.5,league,1,team_a_xg: -0.707; odds_ft_1: 0.164; odds_ft_2: 0.136,team_b_xg: -0.626; odds_ft_2: -0.147; team_a_xg: -0.080,"Agree: With Marseille's squad looking like a hospital ward escapees, Lorient's +1.5 feels like a safe bet against a blowout, unless the hosts magically heal their limp lineup."
2025-09-13 17:00:00,Japan J1 League,Avispa Fukuoka,Cerezo Osaka,Avispa Fukuoka +0.25,High,0.25,1.925,0.5875931544555133,0.75,0.2727272727272727,0.25,league,3,team_a_xg: -0.686; odds_ft_1: -0.093; team_b_xg: -0.082,team_b_xg: -0.602; odds_ft_2: 0.115; team_a_xg: -0.069,
2025-09-13 18:00:00,Japan J1 League,Yokohama F. Marinos,Kawasaki Frontale,Kawasaki Frontale -0.25,High,-0.25,1.925,0.2627110067412198,0.14285714285714285,0.91,0.25,league,3,team_a_xg: -0.649; odds_ft_1: -0.101; team_b_xg: -0.083,team_b_xg: -0.628; odds_ft_2: 0.153; team_a_xg: -0.067,
2025-09-13 18:00:00,Japan J1 League,Gamba Osaka,Urawa Reds,Urawa Reds +0.25,High,0.25,1.925,0.19237947045930073,0.7267046010218869,0.6153846153846154,-0.25,league,3,team_a_xg: -0.700; team_b_xg: -0.075; odds_ft_1: 0.050,team_b_xg: -0.619; team_a_xg: -0.049; rolling_goals_conceded_form_home: 0.042,
2025-09-13 18:00:00,Japan J1 League,Kashima Antlers,Shonan Bellmare,Shonan Bellmare +0.75,High,0.75,1.925,0.053782342190384635,1.0375,0.2727272727272727,-0.75,league,3,team_a_xg: -0.697; odds_ft_1: 0.178; odds_ft_2: 0.078,team_b_xg: -0.576; team_a_xg: -0.090; odds_ft_2: -0.090,
2025-09-13 19:30:00,England Premier League,Arsenal,Nottingham Forest,Nottingham Forest +1.25,High,1.25,1.925,0.3512177670086344,1.246753246753247,0.4791666666666667,-1.25,league,1,team_a_xg: -0.743; odds_ft_1: 0.176; odds_ft_2: 0.140,team_b_xg: -0.580; odds_ft_2: -0.140; team_a_xg: -0.076,"Agree: With Arsenal's squad looking like a hospital ward on match day, Forest's +1.25 handicap is a sneaky bet that could leaf the Gunners red-faced and punters grinning."
2025-09-13 21:30:00,Germany Bundesliga,Heidenheim,Borussia Dortmund,Borussia Dortmund -0.75,High,-0.75,1.925,0.14579499921533762,0.30303030303030304,1.4545454545454546,0.75,league,1,team_a_xg: -0.702; odds_ft_1: -0.209; team_b_xg: -0.083,team_b_xg: -0.664; odds_ft_2: 0.200; odds_ft_1: 0.065,"Disagree: Dortmund's injury-riddled squad could stumble like a drunk juggler, handing Heidenheim a cheeky upset instead of the expected handicap romp."
2025-09-13 21:30:00,Germany Bundesliga,Mainz 05,RB Leipzig,Mainz 05 -0.25,High,-0.25,1.925,0.11138857720190423,1.1333333333333333,0.5822784810126582,-0.25,league,1,team_a_xg: -0.705; market_prob_u25: 0.059; team_b_xg: -0.059,team_b_xg: -0.632; team_a_xg: -0.075; market_prob_btts_yes: 0.057,"Agree: Mainz could sneak a cheeky win here, with Leipzig's red bulls running on fumes after Bayern turned them into ground beef in that 6-0 "
