datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.19218750000000007,1.0000000000000002,0.0,-1.0,league,3,team_a_xg: -0.655; odds_ft_1: 0.182; market_prob_u25: -0.075,team_b_xg: -0.634; odds_ft_2: -0.087; market_prob_btts_yes: -0.046,
2025-09-13 02:30:00,Germany Bundesliga,Bayer Leverkusen,Eintracht Frankfurt,Eintracht Frankfurt +0.25,High,0.25,1.925,0.13547410647002955,1.0510638297872341,1.0,-0.25,league,1,team_a_xg: -0.675; market_prob_u25: 0.055; market_prob_btts_yes: 0.048,team_b_xg: -0.700; market_prob_btts_yes: 0.077; odds_ft_2: 0.072,Agree: Frankfurt's soaring like eagles while Leverkusen's floundering in managerial muck – snag that +0.25 before the underdogs bite back hard.
2025-09-13 02:45:00,France Ligue 1,Olympique Marseille,Lorient,Lorient +1.5,High,1.5,1.925,0.5601569046894548,1.0510638297872341,0.38235294117647056,-1.5,league,1,team_a_xg: -0.677; odds_ft_1: 0.190; odds_ft_2: 0.092,team_b_xg: -0.663; odds_ft_2: -0.162; market_prob_btts_yes: 0.037,"Agree: With Marseille's squad looking like a hospital ward on match day, Lorient's +1.5 handicap feels like betting on a leaky boat that somehow stays afloat against a storm of ..."
2025-09-13 03:00:00,Spain La Liga,Sevilla FC,Elche CF,Elche CF +0.5,High,0.5,1.925,0.12633551568911927,0.9081632653061225,0.45814087058285763,-0.5,league,1,team_a_xg: -0.625; market_prob_u25: -0.064; team_b_xg: -0.041,team_b_xg: -0.657; market_prob_btts_yes: -0.048; odds_ft_2: -0.039,"Agree: Elche's got the sneaky edge here, dodging Sevilla's sloppy form like a matador avoiding a bull that's already tripped over its own hooves."
2025-09-13 17:00:00,Japan J1 League,Avispa Fukuoka,Cerezo Osaka,Avispa Fukuoka +0.25,High,0.25,1.925,0.5149814208239829,0.5714285714285714,0.3076923076923077,0.25,league,3,team_a_xg: -0.656; odds_ft_1: -0.111; odds_ft_2: -0.051,team_b_xg: -0.681; odds_ft_2: 0.113; market_prob_u25: -0.027,
2025-09-13 18:00:00,Japan J1 League,Gamba Osaka,Urawa Reds,Gamba Osaka -0.25,High,-0.25,1.925,0.20662904971494256,1.0,0.3076923076923077,-0.25,league,3,team_a_xg: -0.637; odds_ft_1: 0.045; team_b_xg: -0.035,team_b_xg: -0.680; rolling_xg_for_form_home: -0.026; rolling_fouls_for_form_away: -0.024,
2025-09-13 18:00:00,Japan J1 League,Yokohama F. Marinos,Kawasaki Frontale,Yokohama F. Marinos +0.25,High,0.25,1.925,0.1308484765367095,0.5714285714285714,0.7222222222222222,0.25,league,3,team_a_xg: -0.630; odds_ft_1: -0.117; odds_ft_2: -0.056,team_b_xg: -0.741; odds_ft_2: 0.140; rolling_xg_for_form_home: 0.063,
2025-09-13 18:00:00,Japan J1 League,Kashima Antlers,Shonan Bellmare,Shonan Bellmare +0.75,High,0.75,1.925,0.10214674441493937,1.0000000000000002,0.3076923076923077,-0.75,league,3,team_a_xg: -0.637; odds_ft_1: 0.187; odds_ft_2: 0.072,team_b_xg: -0.647; odds_ft_2: -0.101; odds_ft_1: -0.037,
2025-09-13 19:30:00,England Premier League,Arsenal,Nottingham Forest,Nottingham Forest +1.25,High,1.25,1.925,0.38370147628368656,1.1071428571428572,0.38235294117647056,-1.25,league,1,team_a_xg: -0.701; odds_ft_1: 0.214; odds_ft_2: 0.097,team_b_xg: -0.658; odds_ft_2: -0.155; market_prob_btts_yes: -0.046,"Agree: Arsenal's injury parade turns this into a potential banana peel slip-up, so backing Forest with a cushy handicap feels like stealing candy from a limping baby."
2025-09-13 21:30:00,Germany Bundesliga,Heidenheim,Borussia Dortmund,Borussia Dortmund -0.75,High,-0.75,1.925,0.13549703477258696,0.2972972972972973,1.4296875,0.75,league,1,team_a_xg: -0.669; odds_ft_1: -0.210; odds_ft_2: -0.073,team_b_xg: -0.808; odds_ft_2: 0.199; odds_ft_1: 0.077,"Disagree: Dortmund's injury-riddled squad is about to get schooled by Heidenheim's home fortress, turning this 'sure bet' into a hilarious fumble at the finish line."
2025-09-13 22:00:00,England Premier League,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers +1.25,High,1.25,1.925,0.28551963105765854,1.2647058823529411,0.38235294117647056,-1.25,league,1,team_a_xg: -0.677; odds_ft_1: 0.224; odds_ft_2: 0.104,team_b_xg: -0.632; odds_ft_2: -0.166; market_prob_btts_yes: -0.045,Disagree: Betting on Wolves +1.25 is like expecting a leaky boat to stay afloat in a storm—Newcastle's injury-riddled squad might still sink them by more than a goal with home a...
