datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-11-29 02:00:00,Denmark Superliga,SønderjyskE,Viborg,Viborg -0.0,High,-0.0,1.925,0.18917047808018514,0.7105263157894737,1.0579710144927537,0.0,league,3,team_a_xg: -0.522; team_b_xg: 0.216; odds_ft_1: -0.114,team_b_xg: -0.558; team_a_xg: 0.189; odds_ft_2: 0.056,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 03:45:00,France Ligue 1,Metz,Rennes,Rennes -0.5,High,-0.5,1.925,0.18207212473618123,0.5943396226415095,1.549618320610687,0.5,league,1,team_a_xg: -0.550; odds_ft_1: -0.229; team_b_xg: 0.167,team_b_xg: -0.452; team_a_xg: 0.286; odds_ft_2: 0.218,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 03:45:00,Italy Serie A,Como,Sassuolo,Sassuolo +0.75,High,0.75,1.925,0.12416300183781867,1.2417061611374407,0.6216216216216216,-0.75,league,1,team_a_xg: -0.489; odds_ft_1: 0.255; team_b_xg: 0.188,team_b_xg: -0.470; team_a_xg: 0.175; odds_ft_2: -0.099,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 04:00:00,England Championship,Oxford United,Ipswich Town,Oxford United +0.75,High,0.75,1.925,0.25888249170714434,0.723404255319149,1.1167833890167231,0.75,league,2,team_a_xg: -0.554; odds_ft_1: -0.257; team_b_xg: 0.149,odds_ft_2: 0.487; team_b_xg: -0.302; team_a_xg: 0.251,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 04:15:00,Portugal Liga NOS,Vitória Guimarães,AVS,AVS +1.0,High,1.0,1.925,0.38208059691125545,0.90625,0.38461538461538464,-1.0,league,2,team_a_xg: -0.474; team_b_xg: 0.246; odds_ft_1: 0.243,team_b_xg: -0.480; team_a_xg: 0.182; odds_ft_2: -0.105,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 20:30:00,England Championship,Stoke City,Hull City,Hull City +0.75,High,0.75,1.925,0.3165504667017249,1.1071428571428572,0.8333333333333334,-0.75,league,2,team_a_xg: -0.475; odds_ft_1: 0.239; team_b_xg: 0.218,team_b_xg: -0.503; team_a_xg: 0.175; odds_ft_2: -0.102,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 20:30:00,England Championship,Leicester City,Sheffield United,Sheffield United +0.5,High,0.5,1.925,0.29315853097133504,0.8571428571428571,0.6,-0.5,league,2,team_a_xg: -0.484; team_b_xg: 0.137; odds_ft_1: 0.081,team_b_xg: -0.494; team_a_xg: 0.181; odds_ft_2: -0.101,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 21:00:00,Spain La Liga,RCD Mallorca,CA Osasuna,CA Osasuna +0.25,High,0.25,1.925,0.197616408601577,0.7115384615384616,0.6521739130434783,-0.25,league,1,team_a_xg: -0.501; team_b_xg: 0.230; odds_ft_1: -0.055,team_b_xg: -0.483; team_a_xg: 0.183; odds_ft_2: -0.088,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 22:00:00,Italy Serie A,Parma,Udinese,Udinese -0.0,High,-0.0,1.925,0.26168709269308765,0.5943396226415095,1.0543478260869565,0.0,league,1,team_a_xg: -0.503; team_b_xg: 0.220; odds_ft_1: -0.113,team_b_xg: -0.498; team_a_xg: 0.180; market_prob_btts_yes: -0.031,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 22:30:00,Germany Bundesliga,Bayern München,St. Pauli,St. Pauli +2.0,High,2.0,1.925,0.3307903635640813,1.9760000000000004,0.6216216216216216,-2.0,league,1,team_a_xg: -0.609; odds_ft_1: 0.416; team_b_xg: 0.244,team_b_xg: -0.551; team_a_xg: 0.180; odds_ft_2: -0.165,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 22:30:00,Germany Bundesliga,Union Berlin,Heidenheim,Heidenheim +0.75,High,0.75,1.925,0.0851248150942896,1.3,0.6216216216216216,-0.75,league,1,team_a_xg: -0.512; odds_ft_1: 0.263; team_b_xg: 0.227,team_b_xg: -0.474; team_a_xg: 0.182; odds_ft_2: -0.104,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Premier League,Manchester City,Leeds United,Leeds United +1.75,High,1.75,1.925,0.32853115276516404,1.8125,0.6216216216216216,-1.75,league,1,team_a_xg: -0.572; odds_ft_1: 0.350; team_b_xg: 0.258,team_b_xg: -0.505; team_a_xg: 0.181; odds_ft_2: -0.119,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Championship,Sheffield Wednesday,Preston North End,Sheffield Wednesday +0.25,High,0.25,1.925,0.3935605641440869,0.8,0.6,0.25,league,2,team_a_xg: -0.517; odds_ft_1: -0.215; team_b_xg: 0.148,team_b_xg: -0.442; team_a_xg: 0.245; odds_ft_2: 0.190,King's insight: Solid bet based on ML analysis—watch this space!
