datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-12-13 03:30:00,Germany Bundesliga,Union Berlin,RB Leipzig,RB Leipzig -0.5,High,-0.5,1.925,0.24807118755269697,0.5656565656565656,1.6373056994818653,0.5,league,1,team_a_xg: -0.492; odds_ft_1: -0.212; team_b_xg: 0.157,team_b_xg: -0.411; team_a_xg: 0.328; elo_diff: 0.149,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 03:45:00,Italy Serie A,Lecce,Pisa,Pisa +0.25,High,0.25,1.925,0.17154680770988695,0.916030534351145,0.8741007194244604,-0.25,league,1,team_a_xg: -0.392; team_b_xg: 0.138; market_prob_u25: -0.046,team_b_xg: -0.426; team_a_xg: 0.122; odds_ft_2: -0.112,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 20:30:00,England Championship,Stoke City,Swansea City,Swansea City +0.5,High,0.5,1.925,0.20849911981657349,0.8333333333333334,0.4838709677419355,-0.5,league,2,team_a_xg: -0.435; team_b_xg: 0.154; odds_ft_1: 0.039,team_b_xg: -0.435; team_a_xg: 0.122; odds_ft_2: -0.116,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 20:30:00,England Championship,Oxford United,Preston North End,Oxford United 0.0,High,0.0,1.925,0.19428911795770454,0.7906976744186046,0.4838709677419355,0.0,league,2,team_a_xg: -0.439; team_b_xg: 0.153; odds_ft_1: -0.098,team_b_xg: -0.437; team_a_xg: 0.122; market_prob_btts_yes: -0.046,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 21:00:00,Spain La Liga,Atlético Madrid,Valencia CF,Valencia CF +1.5,High,1.5,1.925,0.47278966214206186,1.5970149253731343,0.8741007194244604,-1.5,league,1,team_a_xg: -0.455; odds_ft_1: 0.341; odds_ft_2: 0.181,team_b_xg: -0.412; odds_ft_2: -0.197; team_a_xg: 0.115,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 22:00:00,Italy Serie A,Torino,Cremonese,Cremonese +0.5,High,0.5,1.925,0.19564007542712641,1.0930232558139534,0.8741007194244604,-0.5,league,1,team_a_xg: -0.394; team_b_xg: 0.156; odds_ft_2: 0.053,team_b_xg: -0.394; team_a_xg: 0.204; odds_ft_2: -0.116,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 22:30:00,Germany Bundesliga,St. Pauli,Heidenheim,Heidenheim +0.5,High,0.5,1.925,0.1672016656959714,1.1336032388663968,0.8741007194244604,-0.5,league,1,team_a_xg: -0.403; team_b_xg: 0.158; odds_ft_1: 0.053,team_b_xg: -0.445; odds_ft_2: -0.125; team_a_xg: 0.119,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 22:30:00,Germany Bundesliga,Borussia M'gladbach,Wolfsburg,Wolfsburg +0.5,High,0.5,1.925,0.13944892517605972,1.3043478260869565,0.9949748743718593,-0.5,league,1,team_a_xg: -0.460; team_b_xg: 0.175; market_prob_u25: 0.052,team_b_xg: -0.432; team_a_xg: 0.213; odds_ft_2: -0.137,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 22:30:00,Germany Bundesliga,Hoffenheim,Hamburger SV,Hamburger SV +0.75,High,0.75,1.925,0.09333046502076436,1.5833333333333333,0.975609756097561,-0.75,league,1,team_a_xg: -0.483; odds_ft_1: 0.207; team_b_xg: 0.155,team_b_xg: -0.468; odds_ft_2: -0.146; team_a_xg: 0.137,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:00:00,England Premier League,Chelsea,Everton,Everton +1.0,High,1.0,1.925,0.3181817035452428,1.3603603603603605,0.8741007194244604,-1.0,league,1,team_a_xg: -0.429; odds_ft_1: 0.233; team_b_xg: 0.161,team_b_xg: -0.419; team_a_xg: 0.213; odds_ft_2: -0.118,King's insight: Solid bet based on ML analysis—watch this space!
