tier,line,roi_pct,n
1,-1.5,41.06,2203
1,-1.25,46.65,3329
1,-1.0,19.43,2791
1,-0.75,18.39,12422
1,-0.5,19.99,10978
1,-0.25,-8.61,14010
1,0.25,19.09,17252
1,0.5,-7.68,7020
1,0.75,22.3,13465
1,1.0,34.01,7585
1,1.25,30.02,9733
1,1.5,-7.53,7817
2,-1.5,-1.18,244
2,-1.25,18.75,153
2,-1.0,28.36,403
2,-0.75,10.09,332
2,-0.5,-5.58,760
2,-0.25,24.37,956
2,0.25,21.18,333
2,0.5,16.62,895
2,0.75,37.7,702
2,1.0,20.84,601
2,1.25,-10.96,73
2,1.5,44.35,241
3,-1.5,89.4,227
3,-1.25,92.5,2
3,-1.0,31.94,302
3,-0.75,-12.02,607
3,-0.5,-24.59,1164
3,-0.25,18.93,2523
3,0.25,0.55,3729
3,0.5,9.05,1009
3,0.75,36.18,1356
3,1.0,43.9,487
3,1.25,47.7,370
3,1.5,36.69,211
