fixture_id,league,home,away,home_score,away_score,line_betted_on_refined,bet_type_refined_ah,odds_betted_on_refined,stake,pl,status,dt_gmt8
,USA MLS,San Diego,Portland Timbers,,,-1.0,bet_home_refined_ah,1.925,71751985832.74367,-71751985832.74367,settled,2025-10-27 09:30:00+00:00
,USA MLS,Philadelphia Union,Chicago Fire,,,0.5,bet_away_refined_ah,1.925,61262525187.751785,-61262525187.751785,settled,2025-10-27 05:30:00+00:00
,Portugal Liga NOS,Sporting Braga,Casa Pia,,,-1.25,bet_home_refined_ah,1.925,57010.526253562224,52734.73678454506,settled,2025-10-27 04:30:00+00:00
,Portugal Liga NOS,Sporting Braga,Casa Pia,,,-1.25,bet_home_refined_ah,1.925,121559.86687195126,112442.87685655491,settled,2025-10-27 04:30:00+00:00
,Portugal Liga NOS,Sporting Braga,Casa Pia,,,-1.25,bet_home_refined_ah,1.925,88833662686.88177,82171137985.36563,settled,2025-10-27 04:30:00+00:00
,France Ligue 1,Olympique Lyonnais,Strasbourg,,,0.5,bet_away_refined_ah,1.925,55649.46805424766,-55649.46805424766,settled,2025-10-27 03:45:00+00:00
,France Ligue 1,Olympique Lyonnais,Strasbourg,,,0.5,bet_away_refined_ah,1.925,117896.46422139826,-117896.46422139826,settled,2025-10-27 03:45:00+00:00
,Israel Israeli Premier League,Hapoel Be'er Sheva,Maccabi Bnei Raina,,,2.0,bet_away_refined_ah,1.925,32594407690.3391,30149827113.56367,settled,2025-10-27 02:15:00+00:00
,Portugal Liga NOS,CD Tondela,Sporting CP,,,-1.75,bet_away_refined_ah,1.925,39254552732.40699,36310461277.47646,settled,2025-10-27 02:00:00+00:00
,Portugal Liga NOS,CD Tondela,Sporting CP,,,-1.75,bet_away_refined_ah,1.925,96739.36950856849,89483.91679542584,settled,2025-10-27 02:00:00+00:00
,Denmark Superliga,København,Viborg,,,1.25,bet_away_refined_ah,1.925,95720.62729204004,88541.58024513704,settled,2025-10-27 01:00:00+00:00
,Italy Serie A,Fiorentina,Bologna,,,0.0,bet_home_refined_ah,1.925,105721.72800580545,0.0,settled,2025-10-27 01:00:00+00:00
,Denmark Superliga,København,Viborg,,,1.25,bet_away_refined_ah,1.925,31363.404193805054,29011.14887926968,settled,2025-10-27 01:00:00+00:00
,Italy Serie A,Fiorentina,Bologna,,,0.0,bet_home_refined_ah,1.925,41783.12004930421,0.0,settled,2025-10-27 01:00:00+00:00
,Germany Bundesliga,Stuttgart,Mainz 05,,,-0.75,bet_home_refined_ah,1.925,19459991261.38654,9000245958.391275,settled,2025-10-27 00:30:00+00:00
,Germany Bundesliga,Stuttgart,Mainz 05,,,-0.75,bet_home_refined_ah,1.925,82485.09601040444,38149.356904812055,settled,2025-10-27 00:30:00+00:00
,France Ligue 1,Angers SCO,Lorient,,,0.25,bet_away_refined_ah,1.925,148034.385553553,-148034.385553553,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Angers SCO,Lorient,,,0.25,bet_away_refined_ah,1.925,61413.09706559065,-61413.09706559065,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Rennes,Nice,,,-0.25,bet_home_refined_ah,1.925,64645.36533220069,-64645.36533220069,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Angers SCO,Lorient,,,0.25,bet_away_refined_ah,1.925,89537511546.74756,-89537511546.74756,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Rennes,Nice,,,-0.25,bet_home_refined_ah,1.925,94250012154.47113,-94250012154.47113,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Auxerre,Le Havre,,,0.5,bet_away_refined_ah,1.925,148295.6933029272,137173.51630520768,settled,2025-10-27 00:15:00+00:00
,France Ligue 1,Rennes,Nice,,,-0.25,bet_home_refined_ah,1.925,142399.67129269143,-142399.67129269143,settled,2025-10-27 00:15:00+00:00
,Austria Bundesliga,Austria Wien,Salzburg,,,0.25,bet_home_refined_ah,1.925,99210539109.9696,-99210539109.9696,settled,2025-10-27 00:00:00+00:00
,Netherlands Eredivisie,AZ,Utrecht,,,-1.0,bet_home_refined_ah,1.925,27113187173.79546,25079698135.7608,settled,2025-10-26 23:45:00+00:00
,Portugal Liga NOS,GD Estoril Praia,CD Nacional,,,0.25,bet_away_refined_ah,1.925,29726.901366659986,13748.691882080246,settled,2025-10-26 23:30:00+00:00
,Denmark Superliga,Randers,SønderjyskE,,,0.5,bet_away_refined_ah,1.925,68937598052.65454,63767278198.70546,settled,2025-10-26 23:00:00+00:00
,Scotland Premiership,Rangers,Kilmarnock,,,1.5,bet_away_refined_ah,1.925,30272.50160132056,-30272.50160132056,settled,2025-10-26 23:00:00+00:00
,Germany Bundesliga,Bayer Leverkusen,Freiburg,,,-0.5,bet_home_refined_ah,1.925,31388760051.578632,29034603047.71024,settled,2025-10-26 22:30:00+00:00
,Scotland Premiership,Aberdeen,Hibernian,,,0.0,bet_away_refined_ah,1.925,56222.53006323534,52005.84030849269,settled,2025-10-26 22:30:00+00:00
,Scotland Premiership,Aberdeen,Hibernian,,,0.0,bet_away_refined_ah,1.925,72321043528.09525,66896965263.4881,settled,2025-10-26 22:30:00+00:00
,Scotland Premiership,Aberdeen,Hibernian,,,0.0,bet_away_refined_ah,1.925,85517.90908059034,79104.06589954607,settled,2025-10-26 22:30:00+00:00
,England Premier League,Wolverhampton Wanderers,Burnley,,,0.5,bet_away_refined_ah,1.925,59064.196216578006,54634.38150033466,settled,2025-10-26 22:00:00+00:00
,Italy Serie A,Sassuolo,Roma,,,-0.5,bet_away_refined_ah,1.925,86812.00808534304,80301.10747894233,settled,2025-10-26 22:00:00+00:00
,England Premier League,Arsenal,Crystal Palace,,,1.25,bet_away_refined_ah,1.925,71208.46046483312,32933.91296498532,settled,2025-10-26 22:00:00+00:00
,England Premier League,Aston Villa,Manchester City,,,-0.75,bet_away_refined_ah,1.925,33734.20901640506,-33734.20901640506,settled,2025-10-26 22:00:00+00:00
,England Premier League,Arsenal,Crystal Palace,,,1.25,bet_away_refined_ah,1.925,16245.850858464171,7513.70602203968,settled,2025-10-26 22:00:00+00:00
,England Premier League,Arsenal,Crystal Palace,,,1.25,bet_away_refined_ah,1.925,33780996206.872776,15623710745.67866,settled,2025-10-26 22:00:00+00:00
,Turkey Süper Lig,Galatasaray,Göztepe,,,-1.25,bet_home_refined_ah,1.925,81924185557.48845,75779871640.67683,settled,2025-10-26 22:00:00+00:00
,England Premier League,Wolverhampton Wanderers,Burnley,,,0.5,bet_away_refined_ah,1.925,36812261132.57347,34051341547.630463,settled,2025-10-26 22:00:00+00:00
,England Premier League,Aston Villa,Manchester City,,,-0.75,bet_away_refined_ah,1.925,27670372609.15651,-27670372609.15651,settled,2025-10-26 22:00:00+00:00
,England Premier League,Aston Villa,Manchester City,,,-0.75,bet_away_refined_ah,1.925,31695.15075795766,-31695.15075795766,settled,2025-10-26 22:00:00+00:00
,France Ligue 1,Lille,Metz,,,-1.5,bet_home_refined_ah,1.925,68285378463.923294,63163975079.12904,settled,2025-10-26 22:00:00+00:00
,Netherlands Eredivisie,Feyenoord,PSV,,,0.0,bet_home_refined_ah,1.925,43587965341.66946,-43587965341.66946,settled,2025-10-26 21:30:00+00:00
,Denmark Superliga,Fredericia,Midtjylland,,,1.25,bet_home_refined_ah,1.925,16393.84693073013,-16393.84693073013,settled,2025-10-26 21:00:00+00:00
