tier,line,roi_pct,n
3,-1.75,91.86,138
1,-1.75,91.6,868
3,-1.5,87.3,703
3,-1.25,85.68,148
1,1.0,72.08,10492
2,1.5,63.89,1656
2,1.75,63.38,628
1,-1.0,58.61,4899
2,1.0,57.35,3079
2,-1.5,56.08,786
1,0.75,55.85,19683
2,2.0,54.23,919
2,1.25,53.51,1587
1,-0.5,47.65,15663
1,-2.0,46.82,631
2,0.75,41.88,4445
3,-1.0,41.74,1233
3,2.0,40.64,589
3,1.5,40.23,1134
3,1.25,39.98,1507
1,-1.25,32.18,4227
3,0.75,31.56,3227
1,-1.5,29.61,3163
3,-0.25,29.51,4317
2,-1.75,25.5,587
3,0.0,22.26,6370
2,-0.25,19.95,5281
3,-0.75,19.43,1813
3,1.0,18.06,1886
2,0.5,16.95,3110
1,1.75,14.87,847
2,0.25,13.07,6630
1,0.0,12.69,5261
3,-0.5,11.97,1657
2,0.0,11.16,6806
1,-0.75,7.8,17854
2,-1.25,5.93,659
1,0.25,4.63,24627
3,0.25,2.16,7080
1,2.0,1.17,1885
2,-2.0,-2.86,1200
3,0.5,-5.74,3240
2,-1.0,-7.03,1830
3,-2.0,-7.13,1116
1,0.5,-11.42,13377
2,-0.75,-15.98,829
1,1.5,-18.17,10578
1,1.25,-22.21,13937
1,-0.25,-26.4,20315
2,-0.5,-51.93,1369
