datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-25 23:10:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Khaleej,Al Taawon,2.35,3.25,2.65,3,league,False,complete,0.0,-0.0,1.925,1.925,0,1,False,,0.0,0.0,0.0,,,,,
2025-09-25 23:25:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Shabab,Al Kholood,1.61,4.2,4.4,3,league,False,complete,-1.0,1.0,1.925,1.925,1,2,False,,0.0,0.0,0.0,,,,,
2025-09-26 01:30:00,Spain La Liga,La Liga,🇪🇸,#ee8900,CA Osasuna,Elche CF,1.95,3.25,3.9,1,league,False,complete,-0.5,0.5,1.925,1.925,1,1,False,,0.0,0.0,0.0,,,,,
2025-09-26 02:00:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Hilal,Al Akhdoud,1.09,7.25,14.0,3,league,False,complete,-2.0,2.0,1.925,1.925,3,1,False,,0.0,0.0,0.0,,,,,
2025-09-26 03:30:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Real Oviedo,FC Barcelona,11.0,6.75,1.21,1,league,False,complete,1.75,-1.75,1.925,1.925,1,3,False,,0.0,0.0,0.0,,,,,
2025-09-26 23:35:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Hazm,Al Ahli,7.5,5.19,1.18,3,league,True,incomplete,1.5,-1.5,1.925,1.925,0,0,True,Al Hazm +1.5,1.5,1.925,0.08674339005133519,High,,,value-bet,value
2025-09-26 23:40:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Dhamk,Al Ittifaq,2.62,3.4,2.42,3,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,Al Ittifaq -0.0,-0.0,1.925,0.2196013753577291,High,,,kings-call,value
2025-09-27 02:00:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Twente,Fortuna Sittard,1.49,4.61,6.0,2,league,True,incomplete,-1.25,1.25,1.925,1.925,0,0,True,Fortuna Sittard +1.25,1.25,1.925,0.10852607353951249,High,,,hot-pick,value
2025-09-27 02:00:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Ittihad,Al Nassr,3.4,3.8,1.7,3,league,True,incomplete,0.75,-0.75,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 02:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,Bayern München,Werder Bremen,1.08,12.0,19.0,1,league,True,incomplete,-2.0,2.0,1.925,1.925,0,0,True,Werder Bremen +2.0,2.0,1.925,0.6177573658884813,High,"Disagree: Bayern's flawless run and Kompany's high-pressing machine should dismantle Bremen's transitional setup, turning +2.0 into a Bavarian banquet.",Disagree,kings-call,value
2025-09-27 02:45:00,France Ligue 1,Ligue 1,🇫🇷,#dae025,Strasbourg,Olympique Marseille,3.4,3.5,1.95,1,league,True,incomplete,0.5,-0.5,1.925,1.925,0,0,True,Olympique Marseille -0.5,-0.5,1.925,0.2596198338236113,High,"Agree: Marseille's fluid attacking under De Zerbi exploits Strasbourg's mid-block vulnerabilities, with OM's 70% win rate in recent away games tipping the scales despite Racing'...",Agree,kings-call,value
2025-09-27 03:00:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Girona FC,RCD Espanyol,2.41,3.45,2.72,1,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,RCD Espanyol -0.0,-0.0,1.925,0.3811931063110546,High,"Agree: Espanyol's 11 points and 3 wins in 5 clash favorably against Girona's winless streak and 16 goals conceded, making -0.0 a savvy play in this derby despite home edge.",Agree,kings-call,value
2025-09-27 03:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,West Bromwich Albion,Leicester City,2.3,3.25,3.15,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 03:15:00,Portugal Liga NOS,Liga NOS,🇵🇹,#046a38,Benfica,Gil Vicente,1.11,8.5,28.0,2,league,True,incomplete,-2.0,2.0,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 15:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Machida Zelvia,Fagiano Okayama,1.65,3.51,4.4,3,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,True,Fagiano Okayama +0.75,0.75,1.925,0.21680498776215015,High,,,kings-call,value
